Route,FROM,TO,PASSENGERS,FREIGHT,MAIL,DAYS
MUMBAI-JABALPUR,MUMBAI,JABALPUR,47346.0,130.65532000000002,1.14,365
MUMBAI-JAIPUR,MUMBAI,JAIPUR,489082.0,2186.74754,337.88201000000004,365
MUMBAI-JAISALMER,MUMBAI,JAISALMER,8108.0,0.0,0.0,182
MUMBAI-JALGAON,MUMBAI,JALGAON,447.0,0.0,0.0,59
MUMBAI-JAMMU,MUMBAI,JAMMU,90570.0,249.87423,19.983,365
MUMBAI-JAMNAGAR,MUMBAI,JAMNAGAR,45915.0,15.284,0.0,365
MUMBAI-JHARSUGUDA,MUMBAI,JHARSUGUDA,221.0,0.0,0.0,31
MUMBAI-JODHPUR,MUMBAI,JODHPUR,127929.0,28.8437,69.523,365
MUMBAI-KANDLA,MUMBAI,KANDLA,30494.0,0.12196000000000001,0.0,365
MUMBAI-KANNUR,MUMBAI,KANNUR,46163.0,40.7811,0.0,365
MUMBAI-KANPUR,MUMBAI,KANPUR,69079.0,144.22357000000002,8.657,365
MUMBAI-KESHOD,MUMBAI,KESHOD,2171.0,0.012105000000000001,0.0,92
MUMBAI-KOCHI,MUMBAI,KOCHI,368562.0,2414.71634,291.87781688553974,365
MUMBAI-KOLHAPUR,MUMBAI,KOLHAPUR,1649.0,0.0,0.0,151
MUMBAI-KOLKATA,MUMBAI,KOLKATA,735166.0,6158.19206,335.3237683831283,365
MUMBAI-KOZHIKODE,MUMBAI,KOZHIKODE,78509.0,233.998,24.5,365
MUMBAI-LEH,MUMBAI,LEH,25413.0,70.77474,0.0,183
MUMBAI-LUCKNOW,MUMBAI,LUCKNOW,356358.0,2050.94679,208.77349,365
MUMBAI-MADURAI,MUMBAI,MADURAI,78694.0,175.34933,21.629203747072598,365
MUMBAI-MANGALORE,MUMBAI,MANGALORE,249854.0,105.11200000000001,55.409,365
MUMBAI-NAGPUR,MUMBAI,NAGPUR,344927.0,1986.5531799999999,396.529,365
MUMBAI-NANDED,MUMBAI,NANDED,1068.0,0.0,0.0,90
MUMBAI-PATNA,MUMBAI,PATNA,220294.0,2025.97572,156.698,365
MUMBAI-PORBANDAR,MUMBAI,PORBANDAR,8342.0,0.048,0.0,184
MUMBAI-PORT BLAIR,MUMBAI,PORT BLAIR,9626.0,6.731,0.0,335
MUMBAI-PUNE,MUMBAI,PUNE,873.0,0.0,0.0,241
MUMBAI-RAIPUR,MUMBAI,RAIPUR,179630.0,1272.6308000000001,228.691,365
MUMBAI-RAJKOT,MUMBAI,RAJKOT,150615.0,105.13975,65.743,365
MUMBAI-RANCHI,MUMBAI,RANCHI,153242.0,981.77531,165.21612,365
MUMBAI-SILCHAR,MUMBAI,SILCHAR,502.0,0.0,0.0,365
MUMBAI-SRINAGAR,MUMBAI,SRINAGAR,149023.0,315.316,21.8575,365
MUMBAI-SURAT,MUMBAI,SURAT,14027.0,23.17415,0.0,273
MUMBAI-Sindhudurg Airport,MUMBAI,Sindhudurg Airport,19076.0,0.0352,0.0,365
MUMBAI-TIRUPATI,MUMBAI,TIRUPATI,22878.0,28.7855,0.0,365
MUMBAI-TRIVANDRUM,MUMBAI,TRIVANDRUM,127668.0,217.9866,55.572,365
MUMBAI-UDAIPUR,MUMBAI,UDAIPUR,243900.0,105.52438000000001,0.446,365
MUMBAI-VADODARA,MUMBAI,VADODARA,153179.0,139.578,55.958,365
MUMBAI-VARANASI,MUMBAI,VARANASI,303855.0,741.82295,86.37687,365
MUMBAI-VIJAYAWADA,MUMBAI,VIJAYAWADA,30.0,0.0,0.0,30
MUMBAI-VISAKHAPATNAM,MUMBAI,VISAKHAPATNAM,71925.0,128.9383,30.668,365
MYSORE-AGATTI ISLAND,MYSORE,AGATTI ISLAND,102.0,0.0,0.0,304
MYSORE-BENGALURU,MYSORE,BENGALURU,7592.0,0.0,0.0,335
MYSORE-CHENNAI,MYSORE,CHENNAI,20574.0,0.0,0.0,365
MYSORE-COIMBATORE,MYSORE,COIMBATORE,0.0,0.0,0.0,31
MYSORE-DABOLIM,MYSORE,DABOLIM,12997.0,0.0,0.0,365
MYSORE-HUBLI,MYSORE,HUBLI,2112.0,0.0,0.0,245
MYSORE-HYDERABAD,MYSORE,HYDERABAD,31434.0,0.0,0.0,365
MYSORE-KOCHI,MYSORE,KOCHI,8694.0,8.76,0.0,335
NAGPUR-AHMEDABAD,NAGPUR,AHMEDABAD,34133.0,2.177,0.0,365
NAGPUR-BELGAUM,NAGPUR,BELGAUM,2305.0,0.0,0.0,275
NAGPUR-BENGALURU,NAGPUR,BENGALURU,133745.0,238.447,23.538,365
NAGPUR-BHOPAL,NAGPUR,BHOPAL,1.0,0.0,0.0,31
NAGPUR-CHENNAI,NAGPUR,CHENNAI,15763.0,22.636000000000003,0.0,304
NAGPUR-DABOLIM,NAGPUR,DABOLIM,28099.0,1.746,0.0,307
NAGPUR-DELHI,NAGPUR,DELHI,240638.0,746.6973,66.632,365
NAGPUR-HYDERABAD,NAGPUR,HYDERABAD,23943.0,0.64,0.0,365
NAGPUR-INDORE,NAGPUR,INDORE,22108.0,0.496,0.0,365
NAGPUR-JAIPUR,NAGPUR,JAIPUR,0.0,0.0,0.0,31
NAGPUR-JODHPUR,NAGPUR,JODHPUR,23.0,0.0,0.0,31
NAGPUR-JORHAT,NAGPUR,JORHAT,7.0,0.0,0.0,28
NAGPUR-KOCHI,NAGPUR,KOCHI,32.0,0.004,0.0,61
NAGPUR-KOLKATA,NAGPUR,KOLKATA,48263.0,96.725,0.0,365
NAGPUR-LUCKNOW,NAGPUR,LUCKNOW,20035.0,0.182,0.0,365
NAGPUR-MUMBAI,NAGPUR,MUMBAI,366456.0,1385.00604,24.508,365
NAGPUR-PUNE,NAGPUR,PUNE,190737.0,139.7501,32.378,365
NAGPUR-RAIPUR,NAGPUR,RAIPUR,433.0,0.0,0.0,121
NAGPUR-VARANASI,NAGPUR,VARANASI,0.0,0.0,0.0,30
NANDED-AMRITSAR,NANDED,AMRITSAR,1378.0,0.0,0.0,90
NANDED-HYDERABAD,NANDED,HYDERABAD,161.0,0.0,0.0,28
NANDED-MUMBAI,NANDED,MUMBAI,905.0,0.0,0.0,90
NASIK-AHMEDABAD,NASIK,AHMEDABAD,8202.0,0.0,0.0,304
NASIK-BELGAUM,NASIK,BELGAUM,3701.0,0.0,0.0,304
NASIK-BENGALURU,NASIK,BENGALURU,222.0,0.0,0.0,92
NASIK-CHENNAI,NASIK,CHENNAI,1344.0,0.0,0.0,184
NASIK-DELHI,NASIK,DELHI,20284.0,0.81336,0.0,365
NASIK-HYDERABAD,NASIK,HYDERABAD,8984.0,0.0,0.0,184
NASIK-PUNE,NASIK,PUNE,7836.0,1.72,0.0,304
NASIK-TIRUPATI,NASIK,TIRUPATI,204.0,0.0,0.0,31
PAKYONG-DELHI,PAKYONG,DELHI,9201.0,0.0,0.0,273
PAKYONG-KOLKATA,PAKYONG,KOLKATA,8053.0,0.0,0.0,273
PANTNAGAR-DEHRA DUN,PANTNAGAR,DEHRA DUN,7645.0,0.0,0.0,304
PANTNAGAR-DELHI,PANTNAGAR,DELHI,23075.0,0.0,0.0,365
PANTNAGAR-LUCKNOW,PANTNAGAR,LUCKNOW,4226.0,0.0,0.0,214
PASIGHAT-DIBRUGARH,PASIGHAT,DIBRUGARH,12.0,0.0,0.0,61
PASIGHAT-GUWAHATI,PASIGHAT,GUWAHATI,5259.0,0.0,0.0,365
"PASIGHAT-Hollongi Airport, Itanagar",PASIGHAT,"Hollongi Airport, Itanagar",49.0,0.0,0.0,31
PASIGHAT-ITANAGAR,PASIGHAT,ITANAGAR,0.0,0.0,0.0,30
PASIGHAT-KOLKATA,PASIGHAT,KOLKATA,566.0,0.0,0.0,304
PASIGHAT-LILABARI,PASIGHAT,LILABARI,13.0,0.00447,0.0,61
PASIGHAT-TEZPUR,PASIGHAT,TEZPUR,216.0,0.0,0.0,365
PATHANKOT-DELHI,PATHANKOT,DELHI,3903.0,0.0,0.0,242
PATNA-AHMEDABAD,PATNA,AHMEDABAD,66595.0,86.02014999999999,7.03,365
PATNA-AMRITSAR,PATNA,AMRITSAR,13974.0,2.2826500000000003,0.0,334
PATNA-BAGDOGRA,PATNA,BAGDOGRA,466.0,10.214739999999999,0.0,59
PATNA-BENGALURU,PATNA,BENGALURU,245547.0,595.73521,36.410000000000004,365
PATNA-BHUBANESWAR,PATNA,BHUBANESWAR,24826.0,1.784,0.011,306
PATNA-CHANDIGARH,PATNA,CHANDIGARH,35053.0,1.008,0.611,306
PATNA-CHENNAI,PATNA,CHENNAI,43656.0,42.7862,13.492,365
PATNA-DEHRA DUN,PATNA,DEHRA DUN,356.0,0.0,0.0,92
PATNA-DELHI,PATNA,DELHI,729635.0,1090.07168,178.54948000000002,365
PATNA-GUWAHATI,PATNA,GUWAHATI,41537.0,36.86745,1.2429999999999999,365
PATNA-HYDERABAD,PATNA,HYDERABAD,104130.0,65.6757,25.628,365
PATNA-JAIPUR,PATNA,JAIPUR,6237.0,0.288,0.0,214
PATNA-KOCHI,PATNA,KOCHI,934.0,0.204,0.0,92
PATNA-KOLKATA,PATNA,KOLKATA,118389.0,172.78121,73.03,365
PATNA-LUCKNOW,PATNA,LUCKNOW,41096.0,8.874,28.416,365
PATNA-MUMBAI,PATNA,MUMBAI,222795.0,293.75307,36.062,365
PATNA-PUNE,PATNA,PUNE,72063.0,10.193859999999999,0.952,365
PATNA-RANCHI,PATNA,RANCHI,40828.0,22.7007,0.189,365
PATNA-SRINAGAR,PATNA,SRINAGAR,0.0,0.0,0.0,92
PATNA-TRIVANDRUM,PATNA,TRIVANDRUM,79.0,0.0,0.0,61
PATNA-VARANASI,PATNA,VARANASI,2262.0,4.94569,0.0,304
PONDICHERRY-BENGALURU,PONDICHERRY,BENGALURU,12034.0,4.947,0.0,306
PONDICHERRY-HYDERABAD,PONDICHERRY,HYDERABAD,19401.0,0.0,0.0,306
PORBANDAR-AHMEDABAD,PORBANDAR,AHMEDABAD,468.0,0.0,0.0,31
PORBANDAR-DELHI,PORBANDAR,DELHI,2073.0,0.0,0.0,153
PORBANDAR-MUMBAI,PORBANDAR,MUMBAI,6916.0,0.0,0.0,184
PORT BLAIR-AHMEDABAD,PORT BLAIR,AHMEDABAD,92.0,0.0,0.0,92
PORT BLAIR-BENGALURU,PORT BLAIR,BENGALURU,72944.0,173.677,0.0,365
PORT BLAIR-CHENNAI,PORT BLAIR,CHENNAI,204961.0,1264.66928,21.643,365
PORT BLAIR-DELHI,PORT BLAIR,DELHI,46941.0,214.56900000000002,0.003,365
PORT BLAIR-HYDERABAD,PORT BLAIR,HYDERABAD,17679.0,19.193,0.0,243
PORT BLAIR-JAIPUR,PORT BLAIR,JAIPUR,0.0,0.0,0.0,28
PORT BLAIR-KOLKATA,PORT BLAIR,KOLKATA,205066.0,754.45297,30.16,365
PORT BLAIR-MUMBAI,PORT BLAIR,MUMBAI,7517.0,3.76,0.0,335
PORT BLAIR-PUNE,PORT BLAIR,PUNE,21.0,0.0,0.0,31
PORT BLAIR-VISAKHAPATNAM,PORT BLAIR,VISAKHAPATNAM,15039.0,1.9900000000000002,0.0,365
PUNE-AHMEDABAD,PUNE,AHMEDABAD,172799.0,480.21518,16.566,365
PUNE-ALLAHABAD,PUNE,ALLAHABAD,23669.0,1.3579999999999999,3.0,365
PUNE-AMRITSAR,PUNE,AMRITSAR,34906.0,6.481,0.899,337
PUNE-BELGAUM,PUNE,BELGAUM,7250.0,0.06,0.0,304
PUNE-BENGALURU,PUNE,BENGALURU,617937.0,2363.51854,17.697,365
PUNE-BHAVNAGAR,PUNE,BHAVNAGAR,9297.0,0.0,0.0,245
PUNE-BHOPAL,PUNE,BHOPAL,9341.0,1.186,0.0,212
PUNE-BHUBANESWAR,PUNE,BHUBANESWAR,55127.0,67.993,3.4325,365
PUNE-CHANDIGARH,PUNE,CHANDIGARH,53451.0,179.934,0.026,365
PUNE-CHENNAI,PUNE,CHENNAI,239880.0,2597.27414,62.528,365
PUNE-COIMBATORE,PUNE,COIMBATORE,31266.0,172.753,3.049,337
PUNE-DABOLIM,PUNE,DABOLIM,103677.0,24.65541,0.0,365
PUNE-DEHRA DUN,PUNE,DEHRA DUN,6604.0,4.011,2.956,306
PUNE-DELHI,PUNE,DELHI,1121125.0,8262.07192,56.313,365
PUNE-DIU,PUNE,DIU,4.0,0.0,0.0,62
PUNE-GUWAHATI,PUNE,GUWAHATI,39419.0,167.942,10.591000000000001,365
PUNE-HYDERABAD,PUNE,HYDERABAD,187761.0,483.63302,45.214,365
PUNE-INDORE,PUNE,INDORE,49952.0,112.675,7.97,365
PUNE-JABALPUR,PUNE,JABALPUR,21089.0,7.207090000000001,0.0,365
PUNE-JAIPUR,PUNE,JAIPUR,104975.0,1317.74836,0.0,365
PUNE-KOCHI,PUNE,KOCHI,53649.0,163.26757,4.906,365
PUNE-KOLKATA,PUNE,KOLKATA,152401.0,1090.1743900000001,12.515,365
PUNE-LUCKNOW,PUNE,LUCKNOW,47078.0,239.24299,12.908,365
PUNE-MANGALORE,PUNE,MANGALORE,10108.0,0.992,2.004,276
PUNE-MUMBAI,PUNE,MUMBAI,421.0,0.0,0.0,241
PUNE-NAGPUR,PUNE,NAGPUR,175854.0,448.29965,31.924,365
PUNE-NASIK,PUNE,NASIK,7781.0,0.0,0.0,304
PUNE-PATNA,PUNE,PATNA,64493.0,143.33766,6.209,365
PUNE-PORT BLAIR,PUNE,PORT BLAIR,0.0,0.0,0.0,31
PUNE-RAIPUR,PUNE,RAIPUR,23143.0,22.08,3.673,365
PUNE-RANCHI,PUNE,RANCHI,42568.0,174.716,4.011,306
PUNE-SURAT,PUNE,SURAT,3345.0,0.273,0.0,91
PUNE-TIRUPATI,PUNE,TIRUPATI,9989.0,0.28378,0.0,365
PUNE-TRIVANDRUM,PUNE,TRIVANDRUM,20209.0,31.143,2.032,215
PUNE-VISAKHAPATNAM,PUNE,VISAKHAPATNAM,5430.0,1.206,0.40800000000000003,184
RAIPUR-AHMEDABAD,RAIPUR,AHMEDABAD,17160.0,5.672999999999999,2.347,245
RAIPUR-ALLAHABAD,RAIPUR,ALLAHABAD,19550.0,0.017,0.0,365
RAIPUR-BENGALURU,RAIPUR,BENGALURU,100570.0,48.795,25.612,365
RAIPUR-BHOPAL,RAIPUR,BHOPAL,17615.0,0.065,0.011,365
RAIPUR-BHUBANESWAR,RAIPUR,BHUBANESWAR,15491.0,0.27,1.309,365
RAIPUR-CHANDIGARH,RAIPUR,CHANDIGARH,17.0,0.0,0.0,30
RAIPUR-CHENNAI,RAIPUR,CHENNAI,30765.0,8.794,9.881,365
RAIPUR-COIMBATORE,RAIPUR,COIMBATORE,260.0,0.0,0.0,61
RAIPUR-DABOLIM,RAIPUR,DABOLIM,13646.0,0.671,0.0,365
RAIPUR-DELHI,RAIPUR,DELHI,340021.0,369.2425,55.202,365
RAIPUR-HYDERABAD,RAIPUR,HYDERABAD,103025.0,20.722,15.581,365
RAIPUR-INDORE,RAIPUR,INDORE,47480.0,23.96,19.191,365
RAIPUR-JAGDALPUR,RAIPUR,JAGDALPUR,13885.0,0.0,0.0,365
RAIPUR-JHARSUGUDA,RAIPUR,JHARSUGUDA,5943.0,0.14,0.0,334
RAIPUR-KOCHI,RAIPUR,KOCHI,423.0,0.1,0.032,123
RAIPUR-KOLKATA,RAIPUR,KOLKATA,97368.0,20.845,42.096000000000004,365
RAIPUR-LUCKNOW,RAIPUR,LUCKNOW,15735.0,1.037,2.334,335
RAIPUR-MANGALORE,RAIPUR,MANGALORE,0.0,0.0,0.0,31
RAIPUR-MUMBAI,RAIPUR,MUMBAI,179467.0,408.21000000000004,5.811299670860712,365
RAIPUR-NAGPUR,RAIPUR,NAGPUR,204.0,0.0,0.0,121
RAIPUR-PUNE,RAIPUR,PUNE,23153.0,1.673,0.0,365
RAIPUR-SRINAGAR,RAIPUR,SRINAGAR,4905.0,0.648,0.0,245
RAIPUR-TRIVANDRUM,RAIPUR,TRIVANDRUM,134.0,0.0,0.0,62
RAIPUR-VISAKHAPATNAM,RAIPUR,VISAKHAPATNAM,6051.0,4.175,0.1562996708607122,365
RAJAHMUNDRY-BENGALURU,RAJAHMUNDRY,BENGALURU,41358.0,1.004,0.005,365
RAJAHMUNDRY-CHENNAI,RAJAHMUNDRY,CHENNAI,25235.0,0.047,0.0,365
RAJAHMUNDRY-HYDERABAD,RAJAHMUNDRY,HYDERABAD,114120.0,6.293,0.0,365
RAJAHMUNDRY-TIRUPATI,RAJAHMUNDRY,TIRUPATI,4976.0,0.0,0.0,276
RAJAHMUNDRY-VIJAYAWADA,RAJAHMUNDRY,VIJAYAWADA,0.0,0.0,0.0,30
RAJAHMUNDRY-VISAKHAPATNAM,RAJAHMUNDRY,VISAKHAPATNAM,6404.0,1.6400000000000001,0.0,365
RAJKOT-AHMEDABAD,RAJKOT,AHMEDABAD,3.0,0.0,0.0,31
RAJKOT-AMRITSAR,RAJKOT,AMRITSAR,86.0,0.0,0.0,31
RAJKOT-BENGALURU,RAJKOT,BENGALURU,44585.0,45.313,0.0,365
RAJKOT-CHENNAI,RAJKOT,CHENNAI,29.0,0.209,0.0,30
RAJKOT-DABOLIM,RAJKOT,DABOLIM,17632.0,1.1392,0.0,365
RAJKOT-DELHI,RAJKOT,DELHI,141756.0,244.36377000000002,0.0,365
RAJKOT-MUMBAI,RAJKOT,MUMBAI,146908.0,88.35605,0.0,365
RANCHI-AHMEDABAD,RANCHI,AHMEDABAD,16493.0,2.367,1.177,245
RANCHI-BAGDOGRA,RANCHI,BAGDOGRA,123.0,0.0,0.0,121
RANCHI-BENGALURU,RANCHI,BENGALURU,197293.0,376.597,23.909,365
RANCHI-BHUBANESWAR,RANCHI,BHUBANESWAR,8466.0,1.2570000000000001,1.952,365
RANCHI-CHENNAI,RANCHI,CHENNAI,49845.0,29.968,3.7089999999999996,365
RANCHI-DELHI,RANCHI,DELHI,420409.0,710.56617,114.83803,365
RANCHI-HYDERABAD,RANCHI,HYDERABAD,69787.0,16.733999999999998,5.184,365
RANCHI-KOCHI,RANCHI,KOCHI,2639.0,0.11699999999999999,0.396,304
RANCHI-KOLKATA,RANCHI,KOLKATA,65027.0,89.12344,11.325,365
RANCHI-LUCKNOW,RANCHI,LUCKNOW,38693.0,20.74926,2.301,365
RANCHI-MANGALORE,RANCHI,MANGALORE,107.0,0.0,0.0,92
RANCHI-MUMBAI,RANCHI,MUMBAI,171809.0,390.74089999999995,32.8955,365
RANCHI-PATNA,RANCHI,PATNA,39923.0,25.94264,0.125,365
RANCHI-PUNE,RANCHI,PUNE,44379.0,26.649,2.0749999999999997,306
RANCHI-SHILLONG,RANCHI,SHILLONG,0.0,0.0,0.0,31
RANCHI-VARANASI,RANCHI,VARANASI,1754.0,2.3962,0.0,91
RANCHI-VISAKHAPATNAM,RANCHI,VISAKHAPATNAM,18.0,0.0,0.0,61
RUPSI-GUWAHATI,RUPSI,GUWAHATI,8347.0,0.0,0.0,365
RUPSI-KOLKATA,RUPSI,KOLKATA,16112.0,0.0,0.0,365
SHILLONG-AGARTALA,SHILLONG,AGARTALA,7044.0,0.0,0.0,365
SHILLONG-AIZAWL,SHILLONG,AIZAWL,4607.0,0.0,0.0,365
SHILLONG-DELHI,SHILLONG,DELHI,236.0,0.0,0.0,61
SHILLONG-DIBRUGARH,SHILLONG,DIBRUGARH,3921.0,0.0,0.0,365
SHILLONG-DIMAPUR,SHILLONG,DIMAPUR,2611.0,0.0,0.0,365
SHILLONG-GUWAHATI,SHILLONG,GUWAHATI,850.0,0.0,0.0,365
SHILLONG-IMPHAL,SHILLONG,IMPHAL,8247.0,0.0,0.0,365
SHILLONG-KOLKATA,SHILLONG,KOLKATA,16632.0,0.12,0.0,365
SHILLONG-LILABARI,SHILLONG,LILABARI,73.0,0.0,0.0,92
SHILLONG-RANCHI,SHILLONG,RANCHI,43.0,0.0,0.0,31
SHILLONG-SILCHAR,SHILLONG,SILCHAR,3952.0,0.0,0.0,365
SHIRDI-AHMEDABAD,SHIRDI,AHMEDABAD,969.0,0.064,0.0,153
SHIRDI-BENGALURU,SHIRDI,BENGALURU,71827.0,42.61205,0.215,365
SHIRDI-CHENNAI,SHIRDI,CHENNAI,66368.0,115.92622999999999,0.0,365
SHIRDI-DELHI,SHIRDI,DELHI,98343.0,141.06154999999998,5.266,365
SHIRDI-DURGAPUR,SHIRDI,DURGAPUR,8.0,0.0,0.0,92
SHIRDI-HYDERABAD,SHIRDI,HYDERABAD,82730.0,49.9877,0.0,365
SHIRDI-TIRUPATI,SHIRDI,TIRUPATI,6834.0,0.0556,0.0,306
SHIRDI-VISAKHAPATNAM,SHIRDI,VISAKHAPATNAM,515.0,0.0,0.0,275
SILCHAR-AIZAWL,SILCHAR,AIZAWL,0.0,0.0,0.0,30
SILCHAR-BAGDOGRA,SILCHAR,BAGDOGRA,0.0,0.0,0.0,30
SILCHAR-BENGALURU,SILCHAR,BENGALURU,2622.0,0.009000000000000001,0.0,154
SILCHAR-DELHI,SILCHAR,DELHI,20244.0,0.65,0.0,365
SILCHAR-GUWAHATI,SILCHAR,GUWAHATI,45209.0,4.8114,0.04,365
SILCHAR-IMPHAL,SILCHAR,IMPHAL,1655.0,0.0,0.0,61
SILCHAR-KOLKATA,SILCHAR,KOLKATA,117311.0,3.572,0.0,365
SILCHAR-MUMBAI,SILCHAR,MUMBAI,968.0,0.0,0.0,365
SILCHAR-SHILLONG,SILCHAR,SHILLONG,5021.0,0.0,0.0,365
SIMLA-DELHI,SIMLA,DELHI,1985.0,0.0,0.0,92
SIMLA-DHARAMSALA,SIMLA,DHARAMSALA,13.0,0.0,0.0,31
SIMLA-KULLU,SIMLA,KULLU,36.0,0.0,0.0,31
SRINAGAR-AHMEDABAD,SRINAGAR,AHMEDABAD,123.0,0.0,0.0,31
SRINAGAR-AMRITSAR,SRINAGAR,AMRITSAR,69350.0,25.1275,6.814,365
SRINAGAR-BENGALURU,SRINAGAR,BENGALURU,18657.0,138.198,0.0,365
SRINAGAR-CHANDIGARH,SRINAGAR,CHANDIGARH,127172.0,301.23822,6.763,365
SRINAGAR-CHENNAI,SRINAGAR,CHENNAI,5153.0,144.65,0.0,306
SRINAGAR-DELHI,SRINAGAR,DELHI,1374935.0,2712.58844,359.959,365
SRINAGAR-DURGAPUR,SRINAGAR,DURGAPUR,18.0,0.0,0.0,123
SRINAGAR-HYDERABAD,SRINAGAR,HYDERABAD,26676.0,12.829,0.0,304
SRINAGAR-JAMMU,SRINAGAR,JAMMU,202624.0,49.14769,28.186,365
SRINAGAR-KOLKATA,SRINAGAR,KOLKATA,16266.0,44.008,0.0,365
SRINAGAR-LEH,SRINAGAR,LEH,12292.0,15.848,0.0,365
SRINAGAR-LUCKNOW,SRINAGAR,LUCKNOW,7576.0,11.794,0.0,245
SRINAGAR-MUMBAI,SRINAGAR,MUMBAI,232588.0,1289.72154,19.246,365
SRINAGAR-PATNA,SRINAGAR,PATNA,83.0,0.0,0.0,92
SRINAGAR-RAIPUR,SRINAGAR,RAIPUR,4930.0,0.761,0.0,245
SRINAGAR-VARANASI,SRINAGAR,VARANASI,8.0,0.0,0.0,31
SURAT-AJMER,SURAT,AJMER,5049.0,0.0,0.0,365
SURAT-BAGDOGRA,SURAT,BAGDOGRA,32.0,0.0,0.0,31
SURAT-BELGAUM,SURAT,BELGAUM,4704.0,0.0,0.0,365
SURAT-BENGALURU,SURAT,BENGALURU,64780.0,315.345,11.807,365
SURAT-BHAVNAGAR,SURAT,BHAVNAGAR,95.0,0.0,0.0,31
SURAT-BHOPAL,SURAT,BHOPAL,0.0,0.0,0.0,28
SURAT-BHUBANESWAR,SURAT,BHUBANESWAR,1088.0,0.173,0.0,90
SURAT-CHENNAI,SURAT,CHENNAI,31326.0,146.365,4.667,337
SURAT-COIMBATORE,SURAT,COIMBATORE,5006.0,4.135,0.0,337
SURAT-DABOLIM,SURAT,DABOLIM,59790.0,229.63717,2.868,365
SURAT-DELHI,SURAT,DELHI,232642.0,870.52258,12.396,365
SURAT-HYDERABAD,SURAT,HYDERABAD,49967.0,407.937,7.9030000000000005,365
SURAT-INDORE,SURAT,INDORE,2249.0,0.0,0.0,90
SURAT-JAIPUR,SURAT,JAIPUR,35615.0,131.29639,0.184,365
SURAT-JAISALMER,SURAT,JAISALMER,18.0,0.0,0.0,31
SURAT-KOLKATA,SURAT,KOLKATA,62760.0,489.06076,0.097,365
SURAT-MUMBAI,SURAT,MUMBAI,14495.0,103.66077,0.0,273
SURAT-PUNE,SURAT,PUNE,3508.0,73.72646999999999,0.0,91
Sindhudurg Airport-MUMBAI,Sindhudurg Airport,MUMBAI,18431.0,0.0,0.0,365
TEZPUR-GUWAHATI,TEZPUR,GUWAHATI,485.0,0.0,0.0,365
TEZPUR-KOLKATA,TEZPUR,KOLKATA,2388.0,0.0,0.0,304
TEZPUR-LILABARI,TEZPUR,LILABARI,1.0,0.0,0.0,61
TEZPUR-PASIGHAT,TEZPUR,PASIGHAT,68.0,0.1,0.0,365
TEZU-DIBRUGARH,TEZU,DIBRUGARH,72.0,0.0,0.0,92
TEZU-GUWAHATI,TEZU,GUWAHATI,7961.0,0.0,0.0,365
TEZU-IMPHAL,TEZU,IMPHAL,2735.0,0.0,0.0,122
TIRUCHIRAPALLY-BENGALURU,TIRUCHIRAPALLY,BENGALURU,42676.0,0.193,0.0,365
TIRUCHIRAPALLY-CHENNAI,TIRUCHIRAPALLY,CHENNAI,73855.0,2.214,0.0,365
TIRUCHIRAPALLY-DELHI,TIRUCHIRAPALLY,DELHI,7609.0,2.262,0.0,337
TIRUCHIRAPALLY-HYDERABAD,TIRUCHIRAPALLY,HYDERABAD,34477.0,0.5219999999999999,0.0,365
TIRUCHIRAPALLY-KANNUR,TIRUCHIRAPALLY,KANNUR,12.0,0.0,0.0,31
TIRUCHIRAPALLY-TIRUPATI,TIRUCHIRAPALLY,TIRUPATI,262.0,0.0,0.0,92
TIRUPATI-BELGAUM,TIRUPATI,BELGAUM,3257.0,0.0,0.0,365
TIRUPATI-BENGALURU,TIRUPATI,BENGALURU,21729.0,0.005,0.0,365
TIRUPATI-CHENNAI,TIRUPATI,CHENNAI,0.0,0.0,0.0,61
TIRUPATI-COIMBATORE,TIRUPATI,COIMBATORE,4375.0,0.0,0.0,276
TIRUPATI-DELHI,TIRUPATI,DELHI,25031.0,27.939999999999998,0.0,365
TIRUPATI-HUBLI,TIRUPATI,HUBLI,684.0,0.0,0.0,120
TIRUPATI-HYDERABAD,TIRUPATI,HYDERABAD,279996.0,38.25285,0.017,365
TIRUPATI-KALABURAGI,TIRUPATI,KALABURAGI,3445.0,0.0,0.0,365
TIRUPATI-KOLHAPUR,TIRUPATI,KOLHAPUR,20135.0,0.0,0.0,365
TIRUPATI-MADURAI,TIRUPATI,MADURAI,8012.0,0.0,0.0,365
TIRUPATI-MUMBAI,TIRUPATI,MUMBAI,21214.0,23.0369,0.0,365
TIRUPATI-NASIK,TIRUPATI,NASIK,208.0,0.0,0.0,31
TIRUPATI-PUNE,TIRUPATI,PUNE,9830.0,2.646,0.0,365
TIRUPATI-RAJAHMUNDRY,TIRUPATI,RAJAHMUNDRY,4256.0,0.0,0.0,276
TIRUPATI-SHIRDI,TIRUPATI,SHIRDI,6883.0,0.0,0.0,306
TIRUPATI-TIRUCHIRAPALLY,TIRUPATI,TIRUCHIRAPALLY,178.0,0.0,0.0,92
TIRUPATI-VIJAYAWADA,TIRUPATI,VIJAYAWADA,11433.0,4.756,14.784,365
TIRUPATI-VISAKHAPATNAM,TIRUPATI,VISAKHAPATNAM,22598.0,0.352,0.182,365
TRIVANDRUM-AHMEDABAD,TRIVANDRUM,AHMEDABAD,1742.0,0.222,0.0,214
