city,pop2023,latitude,longitude
New Delhi,317797,28.6358,77.2244
Neyveli,179150,11.6088,79.4994
Nizamabad,305438,18.6715,78.0988
Noida,293908,28.58,77.33
Nowrangapur,1220946,19.2311,82.5483
Ongole,172872,15.5036,80.0445
Ooty,233426,11.4134,76.6952
Orai,158265,25.9902,79.4533
Palanpur,123294,24.1713,72.4383
Palghat,132728,10.7732,76.6537
Pali,210103,25.7728,73.3233
Pallavaram,157145,12.968,80.1503
Palwal,121965,28.1447,77.3255
Panchkula,200000,30.6946,76.8504
Panihati,378705,22.6909,88.374
Panipat,292808,29.3875,76.9682
Panvel,128046,18.9888,73.1101
Parbhani,289629,19.2686,76.7708
Patan,117863,23.8507,72.1296
Pathankot,174306,32.2748,75.6529
Patiala,329224,30.3363,76.3922
Patna,1599920,25.5941,85.1356
Phusro,185555,23.7564,86.0051
Pilibhit,131008,28.6312,79.8044
Pimpri,1284606,18.6229,73.807
Porbandar,138872,21.6422,69.6093
Proddatur,177797,14.7502,78.5481
Puducherry,657209,11.9338,79.8298
Punasa,350000,22.2351,76.3933
Pune,3124458,18.5196,73.8553
Puri,170841,19.7983,85.8249
Purnia,198453,25.7789,87.4742
Puruliya,122533,23.3306,86.363
Quthbullapur,225816,17.5011,78.4582
Raebareli,186433,26.2309,81.2331
Raichur,225962,16.2055,77.3557
Raiganj,170252,25.6128,88.1245
Raigarh,121278,21.8976,83.3966
Raipur,679995,21.2333,81.6333
Raj-Nandgaon,150755,21.0969,81.0289
Rajahmundry,376333,17.0052,81.7778
Rajapalaiyam,124168,9.45296,77.5534
Rajkot,1390640,22.2916,70.7932
Rajpur Sonarpur,424368,22.4382,88.4321
Ramagundam,235000,18.755,79.474
Ramgundam,452261,18.8008,79.4521
Rampur,296418,28.8101,79.027
Ranchi,1120374,23.3432,85.3094
Raniganj,131261,23.6164,87.1306
Ranipet,264330,12.9247,79.3333
Ratlam,236843,23.3303,75.0403
Raurkela,536450,22.225,84.8641
Rewa,208461,24.5326,81.2923
Rishra,117014,22.7239,88.3456
Robertsonpet,135218,12.9563,78.2754
Rohini,860000,28.7432,77.0678
Rohtak,317245,28.8945,76.5892
Saharanpur,484873,29.9679,77.5452
Saharsa,145764,25.875,86.5961
Salem,917414,11.6538,78.1554
Sambalpur,162887,21.4653,83.9757
Sambhal,196109,28.585,78.5696
Sangli,601214,16.8544,74.5642
Satna,257778,24.5773,80.8272
Saugor,247333,23.8388,78.7387
Secunderabad,204182,17.5043,78.5426
Serilingampalle,150525,17.4931,78.302
Shahjanpur,320434,27.8817,79.9092
Shantipur,149983,23.2472,88.433
Shillong,132842,25.5689,91.8831
Shimla,173503,31.1044,77.1666
Shimoga,319550,13.9316,75.5679
Shivaji Nagar,1000000,18.5302,73.8526
Shivpuri,164215,25.4238,77.6622
Shrirampur,226317,22.7528,88.3422
Shyamnagar,441956,22.8333,88.3667
Sikar,199932,27.6121,75.14
Silchar,152393,24.8273,92.7979
Siliguri,515574,26.71,88.4285
Singrauli,185580,24.1997,82.6753
Sirsa,181639,29.5349,75.029
Sitapur,164435,27.5619,80.6826
Sivakasi,234704,9.44999,77.798
Siwan,119181,26.221,84.3561
Solapur,997281,17.6715,75.9104
Sonipat,250521,28.9948,77.0194
Srikakulam,118299,18.2989,83.8975
Srinagar,975857,34.0857,74.8055
Sujangarh,183808,27.7,74.4667
Surat,4591246,21.1959,72.8302
Surendranagar,179628,22.7271,71.6486
Tambaram,174787,12.9246,80.1271
Tanjore,291067,10.7852,79.1391
Teni,1034724,10.0112,77.4777
Thane,1261517,19.197,72.9635
Thanesar,138279,29.9732,76.8321
Thiruvananthapuram,784153,8.4855,76.9492
Thoothukudi,410760,8.76735,78.1342
Thrissur,315957,10.5167,76.2167
Tiruchirappalli,1022518,10.8155,78.6965
Tirunelveli,1435844,8.72742,77.6838
Tirupati,250821,13.6355,79.4199
Tiruppur,963173,11.1154,77.3546
