20-24_TotalPopulation,20-24_TotalMalePopulation,20-24_TotalFemalePopulation,20-24_Graduates,20-24_MaleGraduates,20-24_FemaleGraduates,25-29_TotalPopulation,25-29_TotalMalePopulation,25-29_TotalFemalePopulation,25-29_Graduates,25-29_MaleGraduates,25-29_FemaleGraduates,30-34_TotalPopulation,30-34_TotalMalePopulation,30-34_TotalFemalePopulation,30-34_Graduates,30-34_MaleGraduates,30-34_FemaleGraduates,35-59_TotalPopulation,35-59_TotalMalePopulation,35-59_TotalFemalePopulation,35-59_Graduates,35-59_MaleGraduates,35-59_FemaleGraduates,60+_TotalPopulation,60+_TotalMalePopulation,60+_TotalFemalePopulation,60+_Graduates,60+_MaleGraduates,60+_FemaleGraduates,District,State,Year
278088,137345,140743,43450,25522,17928,270416,132485,137931,41114,25781,15333,234556,117001,117555,27023,17504,9519,854689,427093,427596,61420,44199,17221,295225,140214,155011,7232,6175,1057,SRI POTTI SRIRAMULU NELLORE,ANDHRA PRADESH,2011
193593,91143,102450,7320,5630,1690,192872,89905,102967,7290,6260,1030,164061,80451,83610,4450,4060,390,572444,285752,286692,7620,6980,640,159143,75741,83402,550,540,10,SRIKAKULAM,ANDHRA PRADESH,1991
213321,104140,109181,13096,9551,3545,217731,99777,117954,13538,9983,3555,189356,92422,96934,10758,8638,2120,659310,328691,330619,20177,17942,2235,196703,89339,107364,1511,1440,71,SRIKAKULAM,ANDHRA PRADESH,2001
248563,126454,122109,33600,22025,11575,233423,112778,120645,27951,18805,9146,206116,99950,106166,18054,12838,5216,767110,374001,393109,39309,32065,7244,302895,141128,161767,3945,3589,356,SRIKAKULAM,ANDHRA PRADESH,2011
297963,145557,152406,19490,11150,8340,304789,149970,154819,23070,16050,7020,247400,127339,120061,16240,12320,3920,811055,422211,388844,31258,26118,5140,176023,80810,95213,2800,2540,260,VISAKHAPATNAM,ANDHRA PRADESH,1991
356120,174334,181786,36303,21776,14527,362017,169965,192052,39737,23149,16588,303547,154959,148588,32019,20675,11344,1009600,520273,489327,68725,51476,17249,236387,108550,127837,7498,6639,859,VISAKHAPATNAM,ANDHRA PRADESH,2001
407228,198334,208894,69085,37948,31137,405104,195965,209139,71168,40987,30181,348395,173776,174619,51428,31157,20271,1238317,623889,614428,124566,83146,41420,374981,174380,200601,17500,14075,3425,VISAKHAPATNAM,ANDHRA PRADESH,2011
172131,81734,90397,6580,4580,2000,175818,82486,93332,6317,4947,1370,152679,73910,78769,4270,3590,680,563372,284384,278988,8060,7090,970,133521,64280,69241,780,730,50,VIZIANAGARAM,ANDHRA PRADESH,1991
190165,92473,97692,13261,9507,3754,195453,91880,103573,12968,9415,3553,170764,84807,85957,9280,7142,2138,612447,305253,307194,17313,14728,2585,165213,75809,89404,1552,1443,109,VIZIANAGARAM,ANDHRA PRADESH,2001
208095,104818,103277,28075,17408,10667,198142,96020,102122,25287,16581,8706,179423,87170,92253,16976,11801,5175,694193,339500,354693,34710,26854,7856,244247,114084,130163,3897,3364,533,VIZIANAGARAM,ANDHRA PRADESH,2011
235031,115319,119712,11250,8200,3050,227765,111671,116094,11130,9080,2050,187934,95623,92311,7690,6380,1310,649432,337513,311919,16891,15331,1560,208021,108781,99240,730,690,40,WARANGAL,ANDHRA PRADESH,1991
290268,143415,146853,23188,15766,7422,287348,138292,149056,23382,17017,6365,229061,117761,111300,16337,12650,3687,777367,393896,383471,33905,28814,5091,276465,139162,137303,2991,2737,254,WARANGAL,ANDHRA PRADESH,2001
330463,166805,163658,66379,40081,26298,316588,154622,161966,57869,37579,20290,266392,131606,134786,32418,22067,10351,945442,467487,477955,64697,49699,14998,394490,188666,205824,7805,6953,852,WARANGAL,ANDHRA PRADESH,2011
317171,153034,164137,18496,11506,6990,300305,142741,157564,15706,11450,4256,248916,127557,121359,10840,8730,2110,829454,423129,406325,20400,17890,2510,238505,119390,119115,1710,1570,140,WEST GODAVARI,ANDHRA PRADESH,1991
347769,176185,171584,27288,17366,9922,329947,157858,172089,27131,17824,9307,287531,144383,143148,20651,14464,6187,986154,498299,487855,42760,34210,8550,300438,144087,156351,4256,3932,324,WEST GODAVARI,ANDHRA PRADESH,2001
391913,197797,194116,53799,29937,23862,357220,176946,180274,46906,28875,18031,306817,153029,153788,30089,19324,10765,1144683,569647,575036,72473,52222,20251,431797,202151,229646,9413,8258,1155,WEST GODAVARI,ANDHRA PRADESH,2011
268608,135324,133284,47059,28764,18295,257092,125098,131994,41463,26903,14560,220877,111174,109703,26107,17864,8243,805448,406085,399363,59181,46679,12502,297670,137310,160360,5918,5325,593,YSR,ANDHRA PRADESH,2011
1996,1084,912,77,43,34,2094,1250,844,209,160,49,1549,902,647,97,77,20,4339,2441,1898,151,127,24,1323,642,681,4,3,1,ANJAW,ARUNACHAL PRADESH,2011
8280,4417,3863,131,88,43,8191,4442,3749,283,211,72,6197,3459,2738,303,233,70,17893,10629,7264,413,358,55,4257,2351,1906,16,15,1,CHANGLANG,ARUNACHAL PRADESH,1991
10753,5376,5377,169,107,62,10894,5436,5458,357,234,123,8067,4313,3754,350,241,109,24996,14181,10815,1062,853,209,6164,3352,2812,12,11,1,CHANGLANG,ARUNACHAL PRADESH,2001
13512,6630,6882,554,290,264,13382,6853,6529,761,470,291,11043,5643,5400,499,345,154,32438,17773,14665,1311,997,314,7951,4253,3698,49,43,6,CHANGLANG,ARUNACHAL PRADESH,2011
3824,2126,1698,76,48,28,4457,2536,1921,211,147,64,3199,1902,1297,221,187,34,8827,5584,3243,257,241,16,1691,913,778,2,1,1,DIBANG VALLEY,ARUNACHAL PRADESH,1991
4656,2530,2126,135,83,52,4856,2567,2289,286,196,90,4032,2168,1864,247,168,79,12478,7557,4921,660,568,92,2329,1265,1064,8,6,2,DIBANG VALLEY,ARUNACHAL PRADESH,2001
871,511,360,58,33,25,831,480,351,129,88,41,591,333,258,58,44,14,1924,1136,788,82,73,9,359,202,157,6,6,0,DIBANG VALLEY,ARUNACHAL PRADESH,2011
3445,1608,1837,43,30,13,4281,2012,2269,180,139,41,3751,1851,1900,149,127,22,13148,7023,6125,175,159,16,2260,1176,1084,8,6,2,EAST KAMENG,ARUNACHAL PRADESH,1991
3491,1602,1889,71,52,19,4200,1988,2212,183,133,50,3993,1868,2125,156,110,46,13727,7243,6484,370,318,52,2207,1047,1160,2,1,1,EAST KAMENG,ARUNACHAL PRADESH,2001
5897,2756,3141,325,200,125,5767,2650,3117,478,366,112,5148,2517,2631,358,303,55,17038,8528,8510,587,486,101,2696,1326,1370,15,15,0,EAST KAMENG,ARUNACHAL PRADESH,2011
9033,5050,3983,425,310,115,9067,4933,4134,500,373,127,6023,3456,2567,400,316,84,21991,12631,9360,647,588,59,5121,2958,2163,15,11,4,EAST SIANG,ARUNACHAL PRADESH,1991
6907,3463,3444,377,231,146,7063,3339,3724,554,357,197,5947,3019,2928,539,385,154,18664,10482,8182,1249,1066,183,4721,2660,2061,38,36,2,EAST SIANG,ARUNACHAL PRADESH,2001
9583,4605,4978,917,454,463,8716,4104,4612,1348,745,603,7243,3540,3703,918,605,313,23837,12612,11225,2202,1728,474,6056,3210,2846,111,102,9,EAST SIANG,ARUNACHAL PRADESH,2011
7240,3357,3883,233,128,105,6577,2916,3661,364,261,103,5949,2704,3245,243,201,42,19087,9309,9778,394,341,53,2513,1325,1188,4,4,0,KURUNG KUMEY,ARUNACHAL PRADESH,2011
10564,5943,4621,275,187,88,10844,6296,4548,417,274,143,7750,4516,3234,383,297,86,21756,13402,8354,616,516,100,4095,2327,1768,15,15,0,LOHIT,ARUNACHAL PRADESH,1991
11902,6228,5674,284,167,117,12171,6306,5865,500,315,185,10189,5559,4630,453,325,128,30155,17820,12335,1311,1077,234,6256,3408,2848,27,26,1,LOHIT,ARUNACHAL PRADESH,2001
13737,6912,6825,706,373,333,12956,6640,6316,892,516,376,10485,5381,5104,711,459,252,33221,18367,14854,1788,1351,437,6982,3845,3137,86,78,8,LOHIT,ARUNACHAL PRADESH,2011
5244,2559,2685,360,183,177,4832,2421,2411,534,306,228,3860,1979,1881,391,256,135,12594,6927,5667,919,714,205,2452,1357,1095,23,22,1,LOWER DIBANG VALLEY,ARUNACHAL PRADESH,2011
13648,6765,6883,609,405,204,15429,7842,7587,987,697,290,11877,6280,5597,841,653,188,33122,18853,14269,1572,1342,230,5067,2754,2313,41,37,4,LOWER SUBANSIRI,ARUNACHAL PRADESH,1991
6467,3104,3363,152,98,54,7432,3374,4058,358,254,104,6389,3124,3265,306,235,71,22663,11800,10863,774,654,120,4014,2094,1920,12,10,2,LOWER SUBANSIRI,ARUNACHAL PRADESH,2001
8913,4341,4572,1053,528,525,7685,3794,3891,1387,863,524,5999,2935,3064,799,525,274,18701,9701,9000,1538,1287,251,3017,1509,1508,47,42,5,LOWER SUBANSIRI,ARUNACHAL PRADESH,2011
